Session,UserId,Handedness,Age,Gender,Country,Profession,Eye,Experience,Device
1,2,R,35,m,Germany,Researcher,R,3,n
1,1,R,26,m,Isreal,Student,R,0,n
2,4,R,21,f,Germany,Student,R,1-2,n
2,3,R,21,f,Germany,Student,L,1-2,n
4,6,R,20,f,Germany,Student,L,3,n
4,5,R,22,m,Germany,Student,R,3,n
5,8,R,27,m,Azerbaijan,Researcher,R,3,n
5,7,R,25,m,Germany,Student,R,1-2,n
6,9,R,22,m,Germany,Student,R,0,n
6,10,R,35,f,France,Researcher,R,1-2,n
7,12,R,21,f,Germany,Student,R,1-2,n
7,11,R,21,m,Germany,Student,R,3,n
8,14,R,24,m,Germany,Student,R,1-2,n
8,13,R,22,m,Germany,Student,R,3,n
9,16,R,23,f,China,Student,L,1-2,n
9,15,R,21,m,China,Student,R,1-2,n
10,17,R,22,m,Italy,Student,R,1-2,n
10,18,R,24,m,Germany,Student,R,1-2,n
11,20,R,23,f,Germany,Student,R,3,n
11,19,R,41,m,Germany,Student,R,0,n
12,22,R,23,m,Germany,Student,R,0,n
12,21,R,22,m,Germany,Student,L,3,n
13,23,R,21,f,Canada,Student,R,0,n
13,24,R,20,f,Canada,Student,R,0,n
14,25,R,23,m,Germany,Student,R,1-2,n
14,26,R,34,m,Germany,Student,R,3,n
15,27,R,28,m,Germany,Student,L,1-2,n
15,28,R,19,m,Germany,Student,R,3,PS VR