SId,PId,Round,Mental,Physical,Temporal,Performance,Effort,Frustraion
1,1,1,5,16,7,6,14,2
1,1,2,3,18,10,16,9,5
1,1,3,5,17,13,8,15,6
1,1,4,8,17,19,3,13,4
1,2,1,4,5,4,6,6,2
1,2,2,3,11,7,5,8,3
1,2,3,11,10,8,13,11,11
1,2,4,11,11,7,3,11,4
2,3,1,8,14,5,12,9,10
2,3,2,15,14,10,14,15,14
2,3,3,15,12,14,11,11,11
2,3,4,16,14,14,11,16,15
2,4,1,12,10,14,3,12,4
2,4,2,12,6,12,3,8,3
2,4,3,13,5,10,9,14,10
2,4,4,12,6,11,5,13,5
3,5,1,3,18,17,5,17,11
3,5,2,3,20,17,3,18,16
3,5,3,7,19,18,4,17,17
3,5,4,4,19,19,7,18,14
3,6,1,14,14,12,16,18,11
3,6,2,7,11,13,16,14,10
3,6,3,6,7,13,12,17,11
3,6,4,13,16,12,16,18,16
4,7,1,1,7,2,4,6,4
4,7,2,1,2,3,1,3,1
4,7,3,1,5,2,1,5,1
4,7,4,7,6,3,4,6,5
4,8,1,4,4,9,4,4,1
4,8,2,3,3,5,5,4,1
4,8,3,9,4,4,6,12,1
4,8,4,11,4,4,6,9,1
5,9,1,3,11,4,5,8,1
5,9,2,3,8,3,4,9,2
5,9,3,3,14,3,7,11,3
5,9,4,3,12,3,4,6,3
5,10,1,5,2,2,5,6,5
5,10,2,3,3,4,13,6,4
5,10,3,8,3,5,16,13,12
5,10,4,3,2,3,4,5,2
6,11,1,4,17,3,3,3,3
6,11,2,2,16,3,3,3,3
6,11,3,3,17,3,3,3,3
6,11,4,3,16,3,3,3,3
6,12,1,13,5,11,7,14,15
6,12,2,12,14,11,10,7,13
6,12,3,18,17,16,17,16,16
6,12,4,14,14,13,7,14,11
7,13,1,1,2,3,2,1,1
7,13,2,1,2,2,2,1,1
7,13,3,2,2,1,3,2,1
7,13,4,2,2,1,2,2,2
7,14,1,3,1,3,11,4,9
7,14,2,2,2,1,9,5,2
7,14,3,2,1,1,8,5,7
7,14,4,1,3,1,4,7,1
8,15,1,1,11,11,18,11,1
8,15,2,1,11,11,21,11,1
8,15,3,11,11,11,21,11,11
8,15,4,21,18,19,11,10,21
8,16,1,5,8,3,5,4,8
8,16,2,2,3,2,3,4,3
8,16,3,1,1,1,2,7,10
8,16,4,9,6,6,5,11,12
9,17,1,5,14,5,3,15,12
9,17,2,4,15,6,3,13,12
9,17,3,14,12,6,7,15,10
9,17,4,14,4,14,4,13,4
9,18,1,14,2,11,6,11,13
9,18,2,13,2,11,4,10,2
9,18,3,15,2,11,17,17,19
9,18,4,14,4,11,19,16,20
10,19,1,8,10,14,11,9,13
10,19,2,14,12,12,11,11,13
10,19,3,12,13,9,17,10,6
10,19,4,14,14,9,1,13,9
10,20,1,3,6,14,5,9,6
10,20,2,4,4,16,5,5,5
10,20,3,14,14,6,9,14,16
10,20,4,17,17,5,3,17,17
11,21,1,1,13,3,3,1,1
11,21,2,1,13,1,1,1,1
11,21,3,1,11,1,1,1,1
11,21,4,1,12,1,1,1,1
11,22,1,6,5,4,11,7,1
11,22,2,1,1,1,5,4,1
11,22,3,1,1,1,11,14,1
11,22,4,1,1,1,19,19,1
12,23,1,8,11,11,4,1,1
12,23,2,4,3,11,4,3,1
12,23,3,3,3,11,10,11,1
12,23,4,3,3,1,9,6,1
12,24,1,4,6,4,3,8,1
12,24,2,6,7,5,3,3,1
12,24,3,9,6,7,13,11,1
12,24,4,8,7,9,13,11,1